[2019-01-04 01:50:08] main.ERROR: Error: Application is not installed yet.  [] []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_18","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_18","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_19","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_19","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_29","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_29","FPC"],"mode":"matchingTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-01-04 01:59:24] report.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/ppm226.local/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
